pressure_bin,temp_adjusted,psal_adjusted,juld,year,month,day,time,latitude,longitude,source_file,region,salinity_mean,salinity_std,temp_mean,temp_std,salinity_z,temp_z,salinity_flag,temp_flag
"(800, 850]",7.8280005,34.512,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.32844636686391,1.6912287346862733,6.452508908284024,0.8325341847916009,0.10853270723912005,1.6521743092871166,normal,normal
"(900, 950]",6.537,34.426,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.306974869047615,1.6862176015424442,5.542908667261905,0.5942349287536,0.07058705284745619,1.6728927981786406,normal,normal
"(1000, 1050]",5.363,34.369,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.309327544910175,1.6833504506546924,4.824732863473054,0.4340365957916405,0.035448622755063566,1.2401422869543974,normal,normal
"(1100, 1150]",4.47,34.369,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.32229084848485,1.6934302972650335,4.35434720969697,0.40568323910892984,0.02758256515818201,0.2850815097933492,normal,normal
"(1150, 1200]",3.9550002,34.4,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.33556566060606,1.694386935585126,4.170653114545455,0.41523942998362257,0.038028113909937336,-0.519345945913566,normal,normal
"(1300, 1350]",3.508,34.445,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.364286358974354,1.7429854934978446,3.728813909615385,0.38989163350454487,0.04630769523139807,-0.5663468785687882,normal,normal
"(1400, 1450]",3.192,34.491,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.387524864516124,1.7467760170476871,3.473891724516129,0.34200487776876687,0.05923778118889253,-0.8242330529177971,normal,normal
"(1500, 1550]",3.011,34.525,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.40611243046357,1.7681999905767367,3.2427533874172183,0.2804603922102917,0.06723649483656441,-0.8263319664883284,normal,normal
"(1600, 1650]",2.867,34.567,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.42929202,1.7757715527364437,3.047402314,0.2262972087771067,0.07754825207544035,-0.7971919537800791,normal,normal
"(1700, 1750]",2.788,34.607,2020-09-11 09:04:25.000001024,2020,9,11,09:04:25.000001,-37.3945,116.8617,nodc_R1901302_274.nc,Southeast Indian Ocean,34.44924325165563,1.7692745373477474,2.8688773609271525,0.1693927155896444,0.08916465196003774,-0.4774547751101585,normal,normal
